date,symbol,direction,kk,sl,tp,risk,entry,status,duration,r,exit,r_sum
2024-03-12,ttd,LONG,82.16,80.26,85.96,1.9,82.16,SL,0.0,-1.0,80.26,-1.0
2024-03-12,adsk,LONG,259.11,252.45,272.43,6.7,259.11,TE,5.0,-0.6,255.18,-1.6
2024-03-12,fulc,LONG,11.68,10.7,13.64,1.0,,,,,,
2024-03-12,lkq,LONG,51.81,51.15,53.12,0.7,51.81,SL,4.0,-1.0,51.15,-2.6
2024-03-12,nue,LONG,185.22,181.47,192.73,3.8,185.93,SL,2.0,-1.2,181.47,-3.8
2024-03-13,owl,LONG,17.54,17.29,18.04,0.2,17.54,SL,1.0,-1.0,17.29,-4.8
2024-03-13,nem,SHORT,33.67,34.75,31.51,1.1,,,,,,
2024-03-13,nee,SHORT,56.55,57.75,54.16,1.2,,,,,,
2024-03-13,mod,LONG,85.35,81.23,93.59,4.1,85.35,TP,4.0,2.0,93.59,-2.8
2024-03-13,lrcx,LONG,950.88,925.68,1001.28,25.2,,,,,,
2024-03-13,kvue,SHORT,20.12,20.52,19.33,0.4,,,,,,
2024-03-13,hrb,LONG,47.98,46.71,50.52,1.3,47.98,SL,1.0,-1.0,46.71,-3.8
2024-03-13,cck,SHORT,77.54,78.94,74.75,1.4,,,,,,
2024-03-13,hmc,LONG,35.27,34.76,36.3,0.5,,,,,,
2024-03-13,hd,LONG,375.9,371.89,383.93,4.0,376.03,SL,3.0,-1.0,371.89,-4.8
2024-03-13,dwac,LONG,40.55,36.65,48.34,3.9,40.55,SL,3.0,-1.0,36.65,-5.8
2024-03-13,chtr,SHORT,291.74,300.02,275.18,8.3,,,,,,
2024-03-13,cflt,LONG,32.02,30.72,34.63,1.3,32.02,SL,2.0,-1.0,30.72,-6.8
2024-03-13,ceg,LONG,169.06,162.0,183.17,7.1,171.24,TE,5.0,0.2,172.41,-6.6
2024-03-13,amd,LONG,202.85,193.68,221.19,9.2,,,,,,
2024-03-13,anf,LONG,120.74,114.83,132.57,5.9,121.37,TE,5.0,1.6,131.08,-5.0
2024-03-13,apd,SHORT,243.93,248.13,235.52,4.2,,,,,,
2024-03-13,arqt,LONG,10.35,9.39,12.28,1.0,10.35,TE,5.0,-0.5,9.86,-5.5
2024-03-13,bg,SHORT,93.22,95.06,89.55,1.8,,,,,,
2024-03-13,pfe,SHORT,27.76,28.41,26.46,0.6,,,,,,
2024-03-13,rxrx,LONG,10.68,9.61,12.82,1.1,10.68,TE,5.0,0.1,10.75,-5.4
2024-03-13,twlo,SHORT,61.75,63.73,57.79,2.0,,,,,,
2024-03-13,spot,LONG,259.74,253.45,272.32,6.3,259.74,SL,2.0,-1.0,253.45,-6.4
2024-03-13,sbac,SHORT,217.76,223.07,207.14,5.3,,,,,,
2024-03-13,ypf,LONG,17.7,17.02,19.07,0.7,17.81,TP,3.0,1.9,19.07,-4.6
2024-03-13,xel,SHORT,51.64,54.05,46.82,2.4,51.64,TE,5.0,-0.3,52.43,-4.9
2024-03-13,wsc,LONG,46.41,45.46,48.3,0.9,46.41,SL,1.0,-1.0,45.46,-5.9
2024-03-13,cag,SHORT,28.31,28.69,27.55,0.4,28.31,SL,0.0,-1.0,28.69,-6.9
2024-03-13,vktx,LONG,68.24,57.9,88.92,10.3,68.24,TE,5.0,-0.3,65.18,-7.2
2024-03-13,verx,LONG,30.1,27.97,34.37,2.1,,,,,,
2024-03-13,biib,SHORT,225.35,230.07,215.92,4.7,225.35,TP,4.0,2.0,215.92,-5.2
2024-03-13,vyx,SHORT,12.46,13.14,11.09,0.7,,,,,,
2024-03-14,alks,LONG,28.81,28.09,30.25,0.7,28.81,SL,2.0,-1.0,28.09,-6.2
2024-03-14,aso,LONG,69.9,68.0,73.7,1.9,71.58,TE,5.0,-0.2,71.25,-6.4
2024-03-14,cflt,LONG,32.02,30.72,34.63,1.3,,,,,,
2024-03-14,chrw,SHORT,75.26,77.19,71.41,1.9,74.93,TE,5.0,0.5,73.95,-5.9
2024-03-14,f,LONG,12.48,12.21,13.02,0.3,,,,,,
2024-03-14,gwre,LONG,116.19,113.45,121.66,2.7,,,,,,
2024-03-14,hmc,LONG,35.17,34.67,36.18,0.5,35.43,TP,2.0,1.5,36.18,-4.4
2024-03-14,mufg,LONG,10.41,10.2,10.82,0.2,,,,,,
2024-03-14,rgnx,LONG,23.07,20.59,28.02,2.5,,,,,,
2024-03-14,sbac,SHORT,218.33,223.29,208.41,5.0,216.78,TE,5.0,0.2,215.72,-4.2
2024-03-14,bwa,SHORT,32.42,33.11,31.03,0.7,32.25,TE,5.0,-0.7,32.72,-4.9
2024-03-14,vyx,SHORT,12.46,13.14,11.09,0.7,,,,,,
2024-03-14,smfg,LONG,11.74,11.51,12.21,0.2,,,,,,
2024-03-15,kvue,SHORT,19.9,20.33,19.11,0.4,19.8,SL,0.0,-1.2,20.33,-6.1
2024-03-15,apa,SHORT,32.26,32.96,30.94,0.7,32.24,SL,2.0,-1.0,32.96,-7.1
2024-03-15,dwac,LONG,41.94,38.63,48.43,3.3,,,,,,
2024-03-18,acva,LONG,17.78,17.13,19.02,0.7,17.78,TP,3.0,1.9,19.02,-5.2
2024-03-18,ahco,LONG,10.47,10.03,11.3,0.4,,,,,,
2024-03-18,bax,LONG,41.95,41.03,43.67,0.9,,,,,,
2024-03-18,beam,LONG,35.48,33.34,39.66,2.1,35.48,TE,5.0,-0.9,33.63,-6.1
2024-03-18,ceg,LONG,168.55,162.48,180.22,6.1,168.55,TE,5.0,1.6,178.24,-4.5
2024-03-18,tmo,LONG,585.22,576.05,601.84,9.2,585.86,TE,5.0,-0.3,583.09,-4.8
2024-03-18,chtr,SHORT,290.31,299.49,272.82,9.2,,,,,,
2024-03-18,four,LONG,77.87,74.77,83.84,3.1,,,,,,
2024-03-18,mtz,LONG,85.4,82.48,90.99,2.9,85.4,TP,3.0,1.9,90.99,-2.9
2024-03-18,mu,LONG,94.79,91.52,101.05,3.3,96.82,SL,1.0,-1.6,91.52,-4.5
2024-03-18,owl,LONG,17.53,17.24,18.05,0.3,17.53,TP,3.0,1.8,18.05,-2.7
2024-03-18,rgnx,LONG,22.86,20.86,26.8,2.0,,,,,,
2024-03-18,tgt,LONG,165.41,160.35,175.04,5.1,165.41,TE,5.0,0.6,168.63,-2.1
2024-03-18,cflt,LONG,30.91,29.63,33.38,1.3,31.05,TE,5.0,-0.1,30.96,-2.1
2024-03-18,blmn,LONG,28.58,27.82,30.01,0.8,28.58,SL,3.0,-1.0,27.82,-3.1
2024-03-19,hpe,LONG,17.21,16.38,18.81,0.8,,,,,,
2024-03-19,ttd,LONG,79.1,77.1,82.85,2.0,79.1,-,4.0,3.0,,-0.1
2024-03-19,pltr,LONG,24.2,23.0,26.54,1.2,,,,,,
2024-03-19,net,LONG,95.83,91.93,103.35,3.9,,,,,,
2024-03-20,cien,LONG,50.27,47.98,54.7,2.3,50.27,-,3.0,0.3,,0.1
2024-03-20,cflt,LONG,31.59,30.49,33.7,1.1,31.59,-,3.0,-0.6,,-0.4
2024-03-20,fwonk,LONG,68.81,67.23,71.76,1.6,68.81,-,3.0,-1.0,,-1.4
2024-03-20,iova,LONG,14.29,13.36,16.09,0.9,14.29,-,3.0,0.8,,-0.6
2024-03-20,kbr,LONG,60.69,59.77,62.36,0.9,60.69,-,3.0,0.8,,0.1
2024-03-20,kkr,LONG,96.65,94.72,100.25,1.9,96.65,-,3.0,2.1,,2.3
2024-03-20,meds,LONG,20.87,13.39,35.77,7.5,20.87,-,3.0,0.4,,2.7
2024-03-20,mu,LONG,94.25,90.83,100.82,3.4,94.99,-,3.0,4.5,,7.2
2024-03-20,bax,LONG,42.02,41.3,43.33,0.7,42.02,-,3.0,-0.1,,7.0
2024-03-20,fnd,LONG,120.57,116.79,127.78,3.8,120.57,-,3.0,2.5,,9.6
2024-03-20,cccs,LONG,11.96,11.66,12.5,0.3,11.96,-,3.0,0.2,,9.8
2024-03-20,wdc,LONG,60.32,58.61,63.55,1.7,60.32,-,3.0,2.1,,11.9
2024-03-20,okta,LONG,105.87,102.92,111.48,3.0,105.87,-,3.0,0.1,,12.0
2024-03-20,pltr,LONG,23.85,22.64,26.21,1.2,23.85,-,3.0,0.3,,12.2
2024-03-20,sndx,LONG,22.48,21.32,24.75,1.2,22.48,-,3.0,0.1,,12.3
2024-03-20,tmo,LONG,584.83,575.8,601.15,9.0,,,,,,
2024-03-20,net,LONG,95.63,92.04,102.54,3.6,95.63,-,3.0,0.3,,12.6
2024-03-20,apg,LONG,38.19,37.46,39.54,0.7,38.19,-,3.0,1.0,,13.6
2024-03-21,rvmd,LONG,31.29,29.95,33.89,1.3,31.7,-,2.0,-0.6,,12.9
2024-03-21,cldx,LONG,42.37,40.39,46.2,2.0,42.71,-,2.0,-0.4,,12.6
2024-03-22,ba,SHORT,187.36,192.46,177.72,5.1,,,,,,
