date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,r,duration,r_sum
2024-03-12,,ttd,,LONG,82.16,80.26,85.96,1.9,82.16,80.26,SL,-1.0,0.0,-1.0
2024-03-12,,adsk,,LONG,259.11,252.45,272.43,6.7,259.11,255.18,TE,-0.6,5.0,-1.6
2024-03-12,,fulc,,LONG,11.68,10.7,13.64,1.0,,,,,,
2024-03-12,,lkq,,LONG,51.81,51.15,53.12,0.7,51.81,51.15,SL,-1.0,4.0,-2.6
2024-03-12,,nue,,LONG,185.22,181.47,192.73,3.8,185.93,181.47,SL,-1.2,2.0,-3.8
2024-03-13,,owl,,LONG,17.54,17.29,18.04,0.2,17.54,17.29,SL,-1.0,1.0,-4.8
2024-03-13,,nem,,SHORT,33.67,34.75,31.51,1.1,,,,,,
2024-03-13,,mod,,LONG,85.35,81.23,93.59,4.1,85.35,93.59,TP,2.0,4.0,-2.8
2024-03-13,,lrcx,,LONG,950.88,925.68,1001.28,25.2,,,,,,
2024-03-13,,kvue,,SHORT,20.12,20.52,19.33,0.4,,,,,,
2024-03-13,,hrb,,LONG,47.98,46.71,50.52,1.3,47.98,46.71,SL,-1.0,1.0,-3.8
2024-03-13,,hmc,,LONG,35.27,34.76,36.3,0.5,,,,,,
2024-03-13,,nee,,SHORT,56.55,57.75,54.16,1.2,,,,,,
2024-03-13,,hd,,LONG,375.9,371.89,383.93,4.0,376.03,371.89,SL,-1.0,3.0,-4.8
2024-03-13,,dwac,,LONG,40.55,36.65,48.34,3.9,,,,,,
2024-03-13,,chtr,,SHORT,291.74,300.02,275.18,8.3,,,,,,
2024-03-13,,cflt,,LONG,32.02,30.72,34.63,1.3,32.02,30.72,SL,-1.0,2.0,-5.8
2024-03-13,,ceg,,LONG,169.06,162.0,183.17,7.1,171.24,172.41,TE,0.2,5.0,-5.6
2024-03-13,,cck,,SHORT,77.54,78.94,74.75,1.4,,,,,,
2024-03-13,,cag,,SHORT,28.31,28.69,27.55,0.4,28.31,28.69,SL,-1.0,0.0,-6.6
2024-03-13,,biib,,SHORT,225.35,230.07,215.92,4.7,225.35,215.92,TP,2.0,4.0,-4.6
2024-03-13,,bg,,SHORT,93.22,95.06,89.55,1.8,,,,,,
