date,signal-date,symbol,industry,direction,kk,sl,tp,risk,entry,exit,status,duration,r,r_sum
2024-01-03,2024-01-02,cvna,Auto & Truck Dealerships,LONG,51.67,47.34,60.19,4.3,,,,,,
2024-01-03,2024-01-02,rivn,Auto Manufacturers,LONG,21.96,20.85,24.12,1.1,,,,,,
2024-01-03,2024-01-02,upst,Credit Services,LONG,40.86,37.6,47.26,3.3,,,,,,
2024-01-03,2024-01-02,w,Internet Retail,LONG,61.62,58.64,67.39,3.0,,,,,,
2024-01-03,2024-01-02,pltr,Software - Infrastructure,LONG,16.97,16.47,17.9,0.5,,,,,,
2024-01-04,2024-01-03,upwk,Staffing & Employment Services,LONG,14.23,13.65,15.33,0.6,,,,,,
2024-01-04,2024-01-03,srrk,Biotechnology,LONG,17.58,16.34,20.01,1.2,,,,,,
2024-01-04,2024-01-03,roku,Entertainment,LONG,88.48,85.13,94.91,3.4,88.48,89.69,TE,5.0,0.4,0.4
2024-01-04,2024-01-03,path,Software - Infrastructure,LONG,23.46,22.61,25.1,0.9,,,,,,
2024-01-04,2024-01-03,lyft,Software - Application,LONG,13.76,13.07,15.07,0.7,,,,,,
2024-01-04,2024-01-03,iot,Software - Infrastructure,LONG,31.13,29.78,33.75,1.3,,,,,,
2024-01-04,2024-01-03,fl,Apparel Retail,LONG,30.24,29.03,32.57,1.2,,,,,,
2024-01-04,2024-01-03,rivn,Auto Manufacturers,LONG,20.68,19.59,22.8,1.1,,,,,,
2024-01-04,2024-01-03,banc,Banks - Regional,LONG,13.15,12.77,13.85,0.4,,,,,,
2024-01-04,2024-01-03,byon,Internet Retail,LONG,26.34,25.13,28.67,1.2,,,,,,
2024-01-04,2024-01-03,amlx,Biotechnology,SHORT,15.25,15.96,13.88,0.7,,,,,,
2024-01-04,2024-01-03,afrm,Software - Infrastructure,LONG,45.47,42.14,52.0,3.3,,,,,,
2024-01-04,2024-01-03,cenx,Aluminum,LONG,11.55,10.8,12.99,0.8,,,,,,
