direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,sma_200,adx_day,adx_week,up_volume,down_volume,industry
LONG,afrm,2024-01-03,45.47,42.14,52.0,1.9,19.93,53.869949247692595,43.04910432115266,26063580.0,25812600.0,Software - Infrastructure
SHORT,amlx,2024-01-03,15.25,15.96,13.88,1.8,21.5,15.330768011244981,31.319283558815137,1355640.0,1414500.0,Biotechnology
LONG,byon,2024-01-03,26.34,25.13,28.67,2.0,22.0,44.8230181890781,31.86782892447091,1444160.0,1198360.0,Internet Retail
LONG,banc,2024-01-03,13.15,12.77,13.85,2.0,12.25,20.912413141976874,13.42686237074149,3447640.0,1897120.0,Banks - Regional
LONG,cenx,2024-01-03,11.55,10.8,12.99,2.0,8.28,49.90321881529483,37.68113336165333,1727380.0,1676940.0,Aluminum
LONG,fl,2024-01-03,30.24,29.03,32.57,2.0,27.48,28.107655920547856,38.31035809610472,3307040.0,2950160.0,Apparel Retail
LONG,iot,2024-01-03,31.13,29.78,33.75,3.1,25.22,24.07869920001446,31.95176872698024,3323720.0,2886220.0,Software - Infrastructure
LONG,lyft,2024-01-03,13.76,13.07,15.07,2.7,10.77,33.27993226619268,28.20221148085048,13418380.0,12878740.0,Software - Application
LONG,path,2024-01-03,23.46,22.61,25.1,2.8,17.42,32.64094483106723,40.378353747940494,10835800.0,6897820.0,Software - Infrastructure
LONG,rivn,2024-01-03,20.68,19.59,22.8,3.3,18.5,29.603638067806965,25.000082721815758,39197560.0,31167440.0,Auto Manufacturers
LONG,roku,2024-01-03,88.48,85.13,94.91,2.1,73.59,22.99793715934476,33.048072115980204,6461440.0,4958520.0,Entertainment
LONG,srrk,2024-01-03,17.58,16.34,20.01,2.7,8.96,37.08769328412424,51.780090096156826,1213340.0,999920.0,Biotechnology
LONG,upwk,2024-01-03,14.23,13.65,15.33,2.1,11.47,28.685485479734606,29.889288242338775,2148820.0,1426060.0,Staffing & Employment Services
