direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume
LONG,apg,19.03.2024,38.19,37.46,39.54,2.3,28,45,1416720,1328620
LONG,bax,19.03.2024,42.02,41.3,43.33,2.7,37,35,4092640,3896600
LONG,cccs,19.03.2024,11.96,11.66,12.5,2.4,29,26,5577020,5179100
LONG,cflt,19.03.2024,31.59,30.49,33.7,2.2,21,26,5493220,3976980
LONG,cien,19.03.2024,50.27,47.98,54.7,1.9,33,40,3437860,2470960
LONG,fnd,19.03.2024,120.57,116.79,127.78,2.0,27,28,1410880,1334740
LONG,fwonk,19.03.2024,68.81,67.23,71.76,2.2,22,27,1417720,1234780
LONG,iova,19.03.2024,14.29,13.36,16.09,2.8,28,55,10982660,8702920
LONG,kbr,19.03.2024,60.69,59.77,62.36,2.4,40,31,1500960,1192480
LONG,kkr,19.03.2024,96.65,94.72,100.25,1.9,33,59,4122220,2945340
LONG,meds,19.03.2024,20.87,13.39,35.77,2.9,58,37,413080,147980
LONG,mu,19.03.2024,94.25,90.83,100.82,2.1,25,25,22210580,15807860
LONG,net,19.03.2024,95.63,92.04,102.54,2.2,25,39,3529100,2983680
LONG,okta,19.03.2024,105.87,102.92,111.48,2.8,32,30,2471740,1740140
LONG,pltr,19.03.2024,23.85,22.64,26.21,2.6,26,40,95049480,61246040
LONG,sndx,19.03.2024,22.48,21.32,24.75,2.1,18,35,1618800,1307040
LONG,tmo,19.03.2024,584.83,575.8,601.15,2.1,20,42,1548120,1482800
LONG,wdc,19.03.2024,60.32,58.61,63.55,3.0,23,32,6477280,4759800
