direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume,ema_reversal
LONG,au,22.03.2024,21.31,20.39,23.09,1.9,30,17,2573500,2407820,0
SHORT,bg,22.03.2024,98.45,100.34,94.97,2.8,24,39,1590780,1728380,0
LONG,cldx,22.03.2024,42.33,40.45,45.96,2.6,18,41,1552100,1273560,0
LONG,cnk,22.03.2024,18.07,17.55,19.04,2.1,44,28,3227580,2926380,0
SHORT,dan,22.03.2024,12.18,12.53,11.53,2.1,15,24,1840400,1882780,0
SHORT,fibk,22.03.2024,26.12,26.81,24.84,1.8,15,20,933560,1486880,0
SHORT,fl,22.03.2024,23.92,24.74,22.34,1.9,40,28,3569720,4168880,0
SHORT,gxo,22.03.2024,50.61,51.54,48.9,2.0,35,32,941580,997960,0
SHORT,pd,22.03.2024,22.33,23.3,20.46,1.9,15,16,1370660,2097560,1
SHORT,run,22.03.2024,11.17,12.0,9.57,2.1,18,20,14202760,14557780,0
SHORT,smar,22.03.2024,39.13,40.64,36.24,2.2,31,24,2214380,3825680,1
SHORT,u,22.03.2024,26.92,27.86,25.13,1.8,21,20,8310600,9933500,0
SHORT,ups,22.03.2024,155.87,158.52,151.04,2.1,21,20,3785520,4921680,0
SHORT,vsco,22.03.2024,19.7,20.5,18.15,1.9,38,33,2419260,9689100,0
SHORT,vyx,22.03.2024,12.97,13.43,12.11,2.3,28,27,2808940,6488680,0
SHORT,whr,22.03.2024,110.62,113.13,105.92,2.3,19,12,927320,3828140,0
