direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume,ema_reversal,industry
SHORT,ba,01.04.2024,188.84,193.36,180.37,2.2,25,29,8011340,8204226,1,Aerospace & Defense
LONG,cdns,01.04.2024,314.28,307.33,327.25,1.8,11,38,1562629,1244860,1,Software—Application
SHORT,colb,01.04.2024,18.74,19.26,17.75,1.8,17,28,2495640,2884860,1,Banks—Regional
SHORT,czr,01.04.2024,43.09,44.21,40.97,2.4,15,26,2963840,3384679,0,Resorts & Casinos
SHORT,eqt,01.04.2024,36.56,37.29,35.21,4.5,23,25,7401154,13128360,0,Oil & Gas E&P
SHORT,flnc,01.04.2024,16.8,17.59,15.29,3.0,25,20,1793972,1884140,0,Utilities—Renewable
SHORT,fsk,01.04.2024,18.91,19.11,18.57,2.8,24,27,1160500,1615215,0,Asset Management
SHORT,leg,01.04.2024,18.85,19.31,17.99,2.2,44,49,1670420,1990438,1,"Furnishings, Fixtures & Appliances"
SHORT,nem,01.04.2024,36.06,37.08,34.14,2.6,26,29,12108553,20254540,0,Gold
SHORT,nep,01.04.2024,29.55,30.42,27.91,2.9,16,20,1438143,1454220,0,Utilities—Renewable
SHORT,tgna,01.04.2024,14.6,14.92,14.03,2.0,17,22,1817980,2947383,0,Broadcasting
SHORT,vfc,01.04.2024,15.09,15.58,14.17,2.3,22,20,6757847,6914100,0,Apparel Manufacturing
