direction,symbol,signal-date,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume,ema_reversal,industry
LONG,abnb,03.04.2024,161.49,158.2,167.59,2.5,28,38,4417180,3224280,0,Travel Services
LONG,avdx,03.04.2024,12.39,12.03,13.05,2.9,14,21,1542120,1411140,0,Software—Infrastructure
LONG,bhvn,03.04.2024,52.79,50.21,57.8,2.4,26,65,1390840,1047880,0,Biotechnology
LONG,bro,03.04.2024,86.19,85.19,87.92,1.9,31,52,1005100,982180,1,Insurance Brokers
LONG,carr,03.04.2024,57.61,56.55,59.55,2.1,24,26,3901840,3877220,1,Building Products & Equipment
LONG,cien,03.04.2024,49.12,48.12,50.98,2.5,29,36,1732760,1494080,0,Communication Equipment
LONG,cprx,03.04.2024,15.52,14.91,16.67,1.8,26,23,1142540,1019220,0,Biotechnology
LONG,cvna,03.04.2024,84.39,79.92,93.09,2.0,37,52,4817020,2882680,0,Auto & Truck Dealerships
LONG,fast,03.04.2024,76.75,75.71,78.6,1.9,38,55,2895520,2850920,1,Industrial Distribution
LONG,fnd,03.04.2024,123.69,119.53,131.65,2.4,29,32,1267800,1057180,0,Home Improvement Retail
LONG,hwm,03.04.2024,66.73,65.63,68.71,1.8,29,56,3154240,3138540,0,Aerospace & Defense
LONG,jbi,03.04.2024,14.63,14.32,15.19,2.9,18,36,1182780,988960,0,Building Products & Equipment
SHORT,oge,03.04.2024,34.22,34.7,33.35,2.0,10,16,1959120,2274220,0,Utilities—Regulated Electric
LONG,pcar,03.04.2024,121.46,119.53,124.96,2.1,50,59,2118220,2098860,0,Farm & Heavy Construction Machinery
LONG,phm,03.04.2024,115.85,113.19,120.83,1.9,26,53,1563060,1440180,0,Residential Construction
LONG,rkt,03.04.2024,13.37,12.73,14.59,2.4,28,24,3057000,2481200,0,Mortgage Finance
LONG,txt,03.04.2024,95.01,94.02,96.72,1.9,47,44,1024240,1002460,1,Aerospace & Defense
